UTM_Easting,UTM_Northing,Cotton Yield
714353,6787883,7.67689304
714353,6787881,7.716248785
714353,6787879,7.733891016
714353,6787877,7.733891016
714353,6787875,7.733891016
714353,6787873,7.733891016
714353,6787871,7.84543579
714355,6787887,7.57511094
714355,6787885,7.625832353
714355,6787883,7.665282341
714355,6787881,7.707891939
714355,6787879,7.733891016
714355,6787877,7.733891016
714355,6787875,7.733891016
714355,6787873,7.804340347
714355,6787871,7.970103479
714355,6787869,8.180070114
714357,6787891,7.444610809
714357,6787889,7.472353952
714357,6787887,7.551897479
714357,6787885,7.604514658
714357,6787883,7.647981023
714357,6787881,7.692725811
714357,6787879,7.724011367
714357,6787877,7.733891016
714357,6787875,7.733891016
714357,6787873,7.84543579
714357,6787871,8.038104037
714357,6787869,8.269305933
714357,6787867,8.551886028
714357,6787865,8.885391163
714357,6787863,9.019841683
714357,6787861,8.988289708
714357,6787859,8.956737733
714357,6787857,8.925936995
714357,6787855,8.914668432
714359,6787891,7.393864036
714359,6787889,7.429472535
714359,6787887,7.50962962
714359,6787885,7.618991894
714359,6787883,7.663106455
714359,6787881,7.712504701
714359,6787879,7.752023298
714359,6787877,7.771782596
714359,6787875,7.806183198
714359,6787873,7.966807673
714359,6787871,8.199602083
714359,6787869,8.452639485
714359,6787867,8.728680287
714359,6787865,8.922411442
714359,6787863,9.017212352
714359,6787861,8.985660377
714359,6787859,8.954108401
714359,6787857,8.922971583
714359,6787855,8.96519274
714359,6787853,9.216087978
714361,6787893,7.307984882
714361,6787891,7.357683466
714361,6787889,7.385773971
714361,6787887,7.469444785
714361,6787885,7.672762436
714361,6787883,7.800974207
714361,6787881,7.929185977
714361,6787879,8.016475803
714361,6787877,8.118406933
714361,6787875,8.146286193
714361,6787873,8.300389326
714361,6787871,8.48928326
714361,6787869,8.719099138
714361,6787867,8.914514414
714361,6787865,9.012395928
714361,6787863,9.015634753
714361,6787861,8.984082778
714361,6787859,8.952530802
714361,6787857,8.957029812
714361,6787855,9.031792965
714361,6787853,9.318183914
714361,6787851,9.668217296
714361,6787849,9.783403488
714361,6787847,9.806450366
714361,6787845,9.71432069
714361,6787843,9.370474785
714361,6787841,9.175946258
714361,6787839,9.325263635
714361,6787837,9.474581012
714361,6787835,9.613232863
714361,6787833,9.773215767
714363,6787893,7.221083356
714363,6787891,7.291035048
714363,6787889,7.331840202
714363,6787887,7.422350835
714363,6787885,7.634395988
714363,6787883,7.894047593
714363,6787881,8.135092049
714363,6787879,8.33521456
714363,6787877,8.519317521
714363,6787875,8.629368612
714363,6787873,8.742931243
714363,6787871,8.818992492
714363,6787869,8.935975685
714363,6787867,9.059098779
714363,6787865,9.078377715
714363,6787863,9.009324358
714363,6787861,8.977772383
714363,6787859,8.946220407
714363,6787857,8.983381491
714363,6787855,9.134120221
714363,6787853,9.462129424
714363,6787851,9.819957646
714363,6787849,9.884392456
714363,6787847,9.869379423
714363,6787845,9.71432069
714363,6787843,9.40780413
714363,6787841,9.213275602
714363,6787839,9.362592979
714363,6787837,9.511910357
714363,6787835,9.655333627
714363,6787833,9.773215767
714363,6787831,9.896265914
714363,6787829,9.950453674
714365,6787893,7.145768701
714365,6787891,7.300568974
714365,6787889,7.39637444
714365,6787887,7.547949494
714365,6787885,7.868169596
714365,6787883,8.220715651
714365,6787881,8.480433404
714365,6787879,8.717831683
714365,6787877,8.949090062
714365,6787875,9.065388425
714365,6787873,9.12307693
714365,6787871,9.143264053
714365,6787869,9.182845347
714365,6787867,9.228566542
714365,6787865,9.165027803
714365,6787863,9.077561273
714365,6787861,9.027596125
714365,6787859,9.011987506
714365,6787857,9.065091946
714365,6787855,9.267302807
714365,6787853,9.633540802
714365,6787851,9.999778796
714365,6787849,9.987814356
714365,6787847,9.907136857
714365,6787845,9.71432069
714365,6787843,9.430201736
714365,6787841,9.235673209
714365,6787839,9.384990586
714365,6787837,9.534307963
714365,6787835,9.679892406
714365,6787833,9.816015818
714365,6787831,9.960720752
714365,6787829,10.02922608
714365,6787827,10.12513353
714365,6787817,9.119351256
714365,6787815,8.939504901
714365,6787813,8.939504901
714365,6787811,8.939504901
714365,6787809,8.939504901
714367,6787893,7.079868377
714367,6787891,7.309194906
714367,6787889,7.470388141
714367,6787887,7.677577197
714367,6787885,8.08350541
714367,6787883,8.544226415
714367,6787881,8.837897967
714367,6787879,9.038533237
714367,6787877,9.233028606
714367,6787875,9.37804108
714367,6787873,9.392892542
