"UTM Easting","UTM Northing","Cotton Yield"
713177,6787157,7.16267080874459
713177,6787155,7.16769752900474
713177,6787153,7.18665874416456
713177,6787151,7.20720006058768
713179,6787171,9.0040253124757
713179,6787169,8.85974616569625
713179,6787167,8.50807656465538
713179,6787165,8.13882348356246
713179,6787163,7.74990935415925
713179,6787161,7.33732785048115
713179,6787159,7.19049304199632
713179,6787157,7.16991731843109
713179,6787155,7.17246459304936
713179,6787153,7.18566078547193
713179,6787151,7.20785069051964
713179,6787149,7.23406178206408
713181,6787183,5.80437698127824
713181,6787181,6.34920838146198
713181,6787179,6.82139559495457
713181,6787177,7.4852198719943
713181,6787175,8.20994753762422
713181,6787173,8.84941312494473
713181,6787171,8.99406922464227
713181,6787169,8.9291546395859
713181,6787167,8.56961874483753
713181,6787165,8.20036566374461
713181,6787163,7.81636679641897
713181,6787161,7.40391514075702
713181,6787159,7.19680139974293
713181,6787157,7.17401317173216
713181,6787155,7.17524538040872
713181,6787153,7.18507864290124
713181,6787151,7.20820557957343
713181,6787149,7.23456076141039
713181,6787147,7.2625036048038
713183,6787195,6.94028978572844
713183,6787193,6.5616886072707
713183,6787191,6.23356758594066
713183,6787189,5.81711721654483
713183,6787187,5.80437698127824
713183,6787185,5.80437698127824
713183,6787183,5.80437698127824
713183,6787181,6.33964993584473
713183,6787179,6.82139559495457
713183,6787177,7.43850284747613
713183,6787175,8.15095432651401
713183,6787173,8.79863748927572
713183,6787171,8.94781837106844
713183,6787169,8.93071206225638
713183,6787167,8.60654405294682
713183,6787165,8.2372909718539
713183,6787163,7.85624126177481
713183,6787161,7.45749660821645
713183,6787159,7.20645318709526
713183,6787157,7.17696161462982
713183,6787155,7.16870660314337
713183,6787153,7.17755736088785
713183,6787151,7.20166970616607
713183,6787149,7.22630492131689
713183,6787147,7.25551789395545
713183,6787145,7.2625036048038
713185,6787209,7.45664947578709
713185,6787207,7.48882358555803
713185,6787205,7.60324174202896
713185,6787203,7.68825786789747
713185,6787201,7.77327399376599
713185,6787199,7.86006128892343
713185,6787197,7.41916998532096
713185,6787195,6.98241728837762
713185,6787193,6.59163855953359
713185,6787191,6.23993770357395
713185,6787189,5.82348733417813
713185,6787187,5.80437698127824
713185,6787185,5.80437698127824
713185,6787183,5.9149224827648
713185,6787181,6.44001361482594
713185,6787179,6.9230974563222
713185,6787177,7.51217449413286
713185,6787175,8.17599877117259
713185,6787173,8.7381211868447
713185,6787171,8.89343615704627
713185,6787169,8.97490051102925
713185,6787167,8.68039466916541
713185,6787165,8.31114158807249
713185,6787163,7.93599019248648
713185,6787161,7.54314385342121
713185,6787159,7.21824981608144
713185,6787157,7.188758243616
713185,6787155,7.1751940918848
713185,6787153,7.17814653513619
713185,6787151,7.19879392186684
713185,6787149,7.22379112385252
713185,6787147,7.25043737697483
713185,6787145,7.2625036048038
713185,6787143,7.2625036048038
713187,6787221,7.66385942142459
713187,6787219,7.66385942142459
713187,6787217,7.66385942142459
713187,6787215,7.56095639749871
713187,6787213,7.51681003086662
713187,6787211,7.47785735442654
713187,6787209,7.44323275314647
713187,6787207,7.45699817614247
713187,6787205,7.58907238771754
713187,6787203,7.67408851358605
713187,6787201,7.75910463945457
713187,6787199,7.84614495879615
713187,6787197,7.43944934426195
713187,6787195,7.01453733461407
713187,6787193,6.61707201206189
713187,6787191,6.25140391531389
713187,6787189,5.83495354591807
713187,6787187,5.8120211224382
713187,6787185,5.80437698127824
713187,6787183,6.0077807040135
713187,6787181,6.51629001085167
713187,6787179,7.02479931768983
713187,6787177,7.57650273588595
713187,6787175,8.24032701292569
713187,6787173,8.70074756723016
713187,6787171,8.85606253743173
713187,6787169,9.0113775076333
713187,6787167,8.75424528538399
713187,6787165,8.38499220429107
713187,6787163,8.01573912319815
713187,6787161,7.62879109862597
713187,6787159,7.23004644506761
713187,6787157,7.20055487260217
713187,6787155,7.18168158062623
713187,6787153,7.17761310414102
713187,6787151,7.19830588117504
713187,6787149,7.22485158239878
713187,6787147,7.25093452023996
713187,6787145,7.26852997924499
713187,6787143,7.27240977946456
713187,6787141,7.2625036048038
713189,6787233,8.21980907299068
713189,6787231,8.15220825213087
713189,6787229,7.93729131432046
713189,6787227,7.82610138400725
713189,6787225,7.71172070167719
713189,6787223,7.61079657020949
713189,6787221,7.57366464735139
713189,6787219,7.6638594214246
713189,6787217,7.6638594214246
713189,6787215,7.55315130007072
713189,6787213,7.51025377668047
713189,6787211,7.47125602814388
713189,6787209,7.43564938817568
713189,6787207,7.43843335398339
713189,6787205,7.58057077513068
713189,6787203,7.6655869009992
713189,6787201,7.75060302686772
713189,6787199,7.83561915273623
713189,6787197,7.50075502350135
713189,6787195,7.09959293642545
713189,6787193,6.68314256702963
713189,6787191,6.2666921976338
713189,6787189,5.85024182823798
713189,6787187,5.81966526359815
713189,6787185,5.80437698127824
713189,6787183,6.10948256538114
713189,6787181,6.6179918722193
713189,6787179,7.12650117905746
713189,6787177,7.64083097763905
713189,6787175,8.26728163506425
713189,6787173,8.62600032800108
713189,6787171,8.78131529820265
713189,6787169,8.93663026840422
713189,6787167,8.70360579981402
713189,6787165,8.35395822969055
713189,6787163,8.00046111574693
713189,6787161,7.61741967508208
713189,6787159,7.2036278874998
713189,6787157,7.15842796600797
713189,6787155,7.15264715091696
713189,6787153,7.14428359999889
713189,6787151,7.19626331429442
713189,6787149,7.2549863459309
713189,6787147,7.32763645852528
713189,6787145,7.36457015982269
713189,6787143,7.38031238408965
713191,6787247,8.82728922430771
713191,6787245,8.67108004254047
713191,6787243,8.53569875167553
713191,6787241,8.37775391233311
713191,6787239,8.21980907299068
713191,6787237,8.21980907299068
713191,6787235,8.21980907299068
713191,6787233,8.21980907299068
713191,6787231,8.14509237625089
713191,6787229,7.8752876874429
713191,6787227,7.76409775712968
713191,6787225,7.65342933132161
713191,6787223,7.5528216714961
713191,6787221,7.52268499244045
713191,6787219,7.66385942142459
713191,6787217,7.66385942142459
713191,6787215,7.54846824161393
713191,6787213,7.48927376328479
713191,6787211,7.44881151878282
713191,6787209,7.40834927428085
713191,6787207,7.38489025495259
713191,6787205,7.54483531612981
713191,6787203,7.6485836758255
713191,6787201,7.73359980169401
713191,6787199,7.81861592756253
713191,6787197,7.50839916466131
713191,6787195,7.11488121874536
713191,6787193,6.7060749905095
713191,6787191,6.28962462111368
713191,6787189,5.87317425171786
713191,6787187,5.83495354591807
713191,6787185,5.8120211224382
713191,6787183,6.21118442674877
713191,6787181,6.63059823595393
713191,6787179,7.05880581600815
713191,6787177,7.47043839761819
713191,6787175,8.00332238449733
713191,6787173,8.21967986566634
713191,6787171,8.41557253026527
713191,6787169,8.641844031119
713191,6787167,8.55462806543981
713191,6787165,8.31793587738189
713191,6787163,8.00639544398777
713191,6787161,7.67550462868866
713191,6787159,7.26689852247389
713191,6787157,7.17546673917483
713191,6787155,7.14958374418451
713191,6787153,7.14510874911904
713191,6787151,7.20962771185529
713191,6787149,7.28868232882687
713191,6787147,7.40737647473679
713191,6787145,7.46034811766954
713191,6787143,7.49791800688564
713193,6787259,7.91013129598281
713193,6787257,8.14571743320852
713193,6787255,8.34989208547081
713193,6787253,8.56977248021481
713193,6787251,8.80339539963031
713193,6787249,9.00953326970281
713193,6787247,8.79790214070076
713193,6787245,8.64278289555095
713193,6787243,8.50317557491611
713193,6787241,8.34523073557368
713193,6787239,8.18728589623126
713193,6787237,8.21980907299068
713193,6787235,8.21980907299068
713193,6787233,8.1992349101203
713193,6787231,8.12122454257012
713193,6787229,7.81915728147561
713193,6787227,7.64302711382969
713193,6787225,7.53183718351647
713193,6787223,7.439575483044
713193,6787221,7.40409847209377
713193,6787219,7.59891918409189
713193,6787217,7.66385942142459
713193,6787215,7.52973600778675
713193,6787213,7.45180929563044
713193,6787211,7.41134705112847
713193,6787209,7.3708848066265
713193,6787207,7.33042256212454
713193,6787205,7.50909985712893
713193,6787203,7.63158045065179
713193,6787201,7.71659657652031
713193,6787199,7.80161270238883
713193,6787197,7.50839916466131
713193,6787195,7.12252535990532
